name,id
ARD,1
ZDF,2
RTL,3
SAT1,4
PRO7,11
RTL II,43
S RTL,13
Kabel,39
3SAT,12
VOX,46
WDR,9
NDR,6
RBB,57
MDR,41
H3,7
SWR,8
B3,5
Ki.Ka,76
Arte,38
DSF,45
EUROSPORT,30
NTV,47
N24,31
Phoenix,60
MTV,32
Tele5,55
XXP,52
Home Shopping Europe,53
QVC,54
ORF 1,16
ORF 2,17
SF 1,24
SF 2,35
BR Alpha,56
EinsFestival,122
EinsExtra,128
Discovery Channel,467
Disney Channel,111
SCI FI,154
13th Street,88
Classica,95
Heimatkanal,89
Animal Planet,158
ATV+,129
ZDFInfo,137
Nick,69
AXN,177
Kinowelt TV,182
Silverline,185
Bibel-TV,156
History Channel,181
National Geographic,190
tv.gusto premium,186
kabel eins classics,209
Boomerang,211
Discovery HD,467hd
RTL Crime,214
RTL Living,215
RTL Passion,216
Comedy Central,14
Cartoon Network,219
Turner Classic Movies,220
Eurosport 2,239
Romance TV,265
Anixe HD,269
SKY Cinema,270
SKY Cinema +24,272
SKY Action,274
SKY Krimi,278
SKY Nostalgie,277
SKY Fuﬂball Bundesliga,288
SKY Sport 1,289
SKY Sport 2,290
SKY Cinema HD,270hd
SKY Sport HD,289hd
National Geographic Wild,284
Spiegel Geschichte,285
TNT Serie,267
National Geographic HD,190hd
sportdigital.tv,263
ZDFneo,294
Eurosport HD,30hd
Sixx,318
HISTORY HD,181hd
MOTORVISION TV,287
PULS 4,314
SKY Sport HD 2,290hd
SKY Action HD,274hd
ServusTV,316
Sat.1 Emotions,428
RTL Nitro,427
Sky Atlantic HD,429
Sat.1 Gold,430
Spiegel TV Wissen,406
Glitz*,421
ProSieben Maxx,436
Universal Channel,441
Sport1+,420
ProSieben Fun,431
TLC,445
ORF 3,447
ORF Sport+,451
ATV II,459
RTL Plus,102
Sky 1,175
N24 Doku,168
Kabel eins Doku,167
Sky Cinema Family,169
