alpha2,alpha3,tld
AF,AFG,.af
AX,ALA,.ax
AL,ALB,.al
DZ,DZA,.dz
AS,ASM,.as
AD,AND,.ad
AO,AGO,.ao
AI,AIA,.ai
AQ,ATA,.aq
AG,ATG,.ag
AR,ARG,.ar
AM,ARM,.am
AW,ABW,.aw
AU,AUS,.au
AT,AUT,.at
AZ,AZE,.az
BS,BHS,.bs
BH,BHR,.bh
BD,BGD,.bd
BB,BRB,.bb
BY,BLR,.by
BE,BEL,.be
BZ,BLZ,.bz
BJ,BEN,.bj
BM,BMU,.bm
BT,BTN,.bt
BO,BOL,.bo
BQ,BES,.bq
BA,BIH,.ba
BW,BWA,.bw
BR,BRA,.br
IO,IOT,.io
BN,BRN,.bn
BG,BGR,.bg
BF,BFA,.bf
BI,BDI,.bi
CV,CPV,.cv
KH,KHM,.kh
CM,CMR,.cm
CA,CAN,.ca
KY,CYM,.ky
CF,CAF,.cf
TD,TCD,.td
CL,CHL,.cl
CN,CHN,.cn
CX,CXR,.cx
CC,CCK,.cc
CO,COL,.co
KM,COM,.km
CD,COD,.cd
CG,COG,.cg
CK,COK,.ck
CR,CRI,.cr
CI,CIV,.ci
HR,HRV,.hr
CU,CUB,.cu
CW,CUW,.cw
CY,CYP,.cy
CZ,CZE,.cz
DK,DNK,.dk
DJ,DJI,.dj
DM,DMA,.dm
DO,DOM,.do
EC,ECU,.ec
EG,EGY,.eg
SV,SLV,.sv
GQ,GNQ,.gq
ER,ERI,.er
EE,EST,.ee
SZ,SWZ,.sz
ET,ETH,.et
FK,FLK,.fk
FO,FRO,.fo
FJ,FJI,.fj
FI,FIN,.fi
FR,FRA,.fr
GF,GUF,.gf
PF,PYF,.pf
TF,ATF,.tf
GA,GAB,.ga
GM,GMB,.gm
GE,GEO,.ge
DE,DEU,.de
GH,GHA,.gh
GI,GIB,.gi
GR,GRC,.gr
GL,GRL,.gl
GD,GRD,.gd
GP,GLP,.gp
GU,GUM,.gu
GT,GTM,.gt
GG,GGY,.gg
GN,GIN,.gn
GW,GNB,.gw
GY,GUY,.gy
HT,HTI,.ht
HM,HMD,.hm
VA,VAT,.va
HN,HND,.hn
HK,HKG,.hk
HU,HUN,.hu
IS,ISL,.is
IN,IND,.in
ID,IDN,.id
IR,IRN,.ir
IQ,IRQ,.iq
IE,IRL,.ie
IM,IMN,.im
IL,ISR,.il
IT,ITA,.it
JM,JAM,.jm
JP,JPN,.jp
JE,JEY,.je
JO,JOR,.jo
KZ,KAZ,.kz
KE,KEN,.ke
KI,KIR,.ki
KP,PRK,.kp
KR,KOR,.kr
KW,KWT,.kw
KG,KGZ,.kg
LA,LAO,.la
LV,LVA,.lv
LB,LBN,.lb
LS,LSO,.ls
LR,LBR,.lr
LY,LBY,.ly
LI,LIE,.li
LT,LTU,.lt
LU,LUX,.lu
MO,MAC,.mo
MG,MDG,.mg
MW,MWI,.mw
MY,MYS,.my
MV,MDV,.mv
ML,MLI,.ml
MT,MLT,.mt
MH,MHL,.mh
MQ,MTQ,.mq
MR,MRT,.mr
MU,MUS,.mu
YT,MYT,.yt
MX,MEX,.mx
FM,FSM,.fm
MD,MDA,.md
MC,MCO,.mc
MN,MNG,.mn
ME,MNE,.me
MS,MSR,.ms
MA,MAR,.ma
MZ,MOZ,.mz
MM,MMR,.mm
NA,NAM,.na
NR,NRU,.nr
NP,NPL,.np
NL,NLD,.nl
NC,NCL,.nc
NZ,NZL,.nz
NI,NIC,.ni
NE,NER,.ne
NG,NGA,.ng
NU,NIU,.nu
NF,NFK,.nf
MK,MKD,.mk
MP,MNP,.mp
NO,NOR,.no
OM,OMN,.om
PK,PAK,.pk
PW,PLW,.pw
PS,PSE,.ps
PA,PAN,.pa
PG,PNG,.pg
PY,PRY,.py
PE,PER,.pe
PH,PHL,.ph
PN,PCN,.pn
PL,POL,.pl
PT,PRT,.pt
PR,PRI,.pr
QA,QAT,.qa
RE,REU,.re
RO,ROU,.ro
RU,RUS,.ru
RW,RWA,.rw
BL,BLM,.bl
SH,SHN,.sh
KN,KNA,.kn
LC,LCA,.lc
MF,MAF,.mf
PM,SPM,.pm
VC,VCT,.vc
WS,WSM,.ws
SM,SMR,.sm
ST,STP,.st
SA,SAU,.sa
SN,SEN,.sn
RS,SRB,.rs
SC,SYC,.sc
SL,SLE,.sl
SG,SGP,.sg
SX,SXM,.sx
SK,SVK,.sk
SI,SVN,.si
SB,SLB,.sb
SO,SOM,.so
ZA,ZAF,.za
GS,SGS,.gs
SS,SSD,.ss
ES,ESP,.es
LK,LKA,.lk
SD,SDN,.sd
SR,SUR,.sr
SE,SWE,.se
CH,CHE,.ch
SY,SYR,.sy
TW,TWN,.tw
TJ,TJK,.tj
TZ,TZA,.tz
TH,THA,.th
TL,TLS,.tl
TG,TGO,.tg
TK,TKL,.tk
TO,TON,.to
TT,TTO,.tt
TN,TUN,.tn
TR,TUR,.tr
TM,TKM,.tm
TC,TCA,.tc
TV,TUV,.tv
UG,UGA,.ug
UA,UKR,.ua
AE,ARE,.ae
GB,GBR,.uk
US,USA,.us
UY,URY,.uy
UZ,UZB,.uz
VU,VUT,.vu
VE,VEN,.ve
VN,VNM,.vn
VG,VGB,.vg
VI,VIR,.vi
WF,WLF,.wf
YE,YEM,.ye
ZM,ZMB,.zm
ZW,ZWE,.zw
